Row Labels,Count of otu_label
Bacteria,3657
Firmicutes,1569
Clostridia,1100
Actinobacteria,1060
Clostridiales,1057
IncertaeSedisXI,695
Proteobacteria,544
Actinomycetales,500
Bacteroidetes,364
Anaerococcus,359
Bacilli,356
Bacteroidales,237
Bacteroidia,237
Alphaproteobacteria,204
Gammaproteobacteria,147
Porphyromonadaceae,145
Peptoniphilus,133
Lactobacillales,130
Porphyromonas,128
Bacillales,121
Betaproteobacteria,114
Rhizobiales,84
Veillonellaceae,81
Prevotellaceae,80
Finegoldia,79
Burkholderiales,72
Sphingobacteriales,67
Sphingobacteria,67
Corynebacteriaceae,62
Prevotella,56
Staphylococcaceae,55
Actinomycetaceae,49
Synergistaceae,48
Synergistales,48
Synergistetes,48
Synergistia,48
Pseudomonadales,47
Jonquetella,42
Cyanobacteria,40
Epsilonproteobacteria,40
Campylobacterales,38
Peptococcaceae,37
Peptococcus,37
Sphingomonadales,35
Aerococcaceae,33
Fusobacteria,32
Xanthomonadales,28
Corynebacterium,28
Moraxellaceae,25
Xanthomonadaceae,25
Staphylococcus,24
Sphingomonadaceae,24
Streptococcaceae,24
Caulobacterales,23
Dialister,23
Caulobacteraceae,23
Pseudomonadaceae,22
Flavobacteria,22
Campylobacteraceae,22
Campylobacter,22
Acidobacteria,22
Flavobacteriales,22
Varibaculum,22
Rhodospirillales,22
Streptococcus,21
Flavobacteriaceae,21
Veillonella,21
Bradyrhizobiaceae,21
Chitinophagaceae,21
Dermabacteraceae,20
Microbacteriaceae,19
Sphingobacteriaceae,18
Pasteurellales,18
Pasteurellaceae,18
Deltaproteobacteria,17
Ruminococcaceae,16
Micrococcaceae,16
Carnobacteriaceae,16
Fusobacteriales,16
Chloroplast,15
Acetobacteraceae,15
Cytophagaceae,14
Dermabacter,14
Nocardioidaceae,13
Acinetobacter,13
Streptophyta,13
Rhodobacteraceae,12
Rhodobacterales,12
Neisseriaceae,12
Mobiluncus,12
Neisseriales,12
Myxococcales,12
Leptotrichiaceae,12
Lachnospiraceae,12
Burkholderiaceae,11
Comamonadaceae,11
Planctomycetales,10
Planctomycetaceae,10
Planctomycetacia,10
Enterobacteriaceae,10
Planctomycetes,10
Enterobacteriales,10
Phenylobacterium,10
Oxalobacteraceae,10
Leptotrichia,9
Sphingomonas,9
Methylobacteriaceae,9
Brevundimonas,8
Bacillaceae,8
Sphingobacterium,8
Chlamydiae,8
Actinomyces,8
Methylobacterium,8
Lactobacillaceae,7
Alcaligenaceae,7
